6684,09-23,MarathonOasisdeMontreal,MARATHON,04:08:29,M18-24
6684,06-10,LaGrandeVireedesSentiersSt-Bruno,1KMU6,00:05:37,M6-

6685,10-21,NiagaraFallsInternationalMarathon,HALFMARATHON,02:05:40,F30-34
6685,05-27,OttawaRaceWeekend,MARATHON,04:40:33,F30-34
6685,04-15,RunforRetina,SISKINDSHALFMARATHONRUN,02:09:20,F30-39

6687,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:08:37,M50-54
6687,05-27,OttawaRaceWeekend,MARATHON,03:26:34,M50-54

6688,09-23,MarathonOasisdeMontreal,MARATHON,04:26:07,M30-34

6690,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:45:20,M40-44

6695,09-23,MarathonOasisdeMontreal,MARATHON,04:02:21,M18-24
6695,04-29,BanqueScotia21kmet5km,"21,1KM",01:40:06,M20-24

6698,09-23,MarathonOasisdeMontreal,MARATHON,04:09:15,F40-44
6698,05-27,OttawaRaceWeekend,HALFMARATHON,01:53:08,F40-44

6700,09-30,MarathondeRimouski,"21,1KM",01:37:34,F30-39
6700,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:42:48,F30-39

6706,10-20,Cross-CountrySaint-LaurentSelect,5KM,00:27:14,M18-19
6706,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:15:16,M45-49
6706,09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,05:39:58,M50-54
6706,08-26,TriathlondeValleyfield,TRIATHLONINITIATION,00:42:08,M50-54
6706,08-15,Le5kmEndurance,5KM,00:20:51,M50-59
6706,08-12,TriathlondeVerdun,TRIATHLONINITIATION,00:46:36,M50-54
6706,07-22,TriathlonTrimemphredeMagog,NAGEVELOINITIATION,00:24:30,M50-54
6706,07-14,TriathlonSt-Lambert,TRIATHLONINITIATION,00:44:12,M50-59
6706,07-07,TriathlondeGatineau,TRI-NEO,00:35:31,M50-59
6706,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,06:32:13,M50-54
6706,05-27,OttawaRaceWeekend,MARATHON,03:56:08,M45-49
6706,04-29,BanqueScotia21kmet5km,"21,1KM",01:47:55,M45-49

6711,09-23,MarathonOasisdeMontreal,MARATHON,03:48:12,F18-24
6711,05-27,OttawaRaceWeekend,MARATHON,03:57:19,F20-24

6712,09-23,Marathon Oasis de Montreal,Marathon,04:01:00,M35-39

6713,09-23,MarathonOasisdeMontreal,MARATHON,03:45:01,M45-49
6713,05-27,OttawaRaceWeekend,HALFMARATHON,01:39:43,M45-49

6715,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,01:07:00,M50-59

6725,09-09,Demi-MarathonGranby,DEMIMARATHON,01:50:33,M30-39
6725,06-17,TourduLacBrome,20KMROUTE,01:49:02,M30-39

6732,10-14,ClassiqueDuParcLaFontaine,10KM,00:56:35,F40-49
6732,09-30,MarathondeRimouski,"21,1KM",02:15:04,F40-49
6732,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,01:07:21,F40-49
6732,04-29,BanqueScotia21kmet5km,"21,1KM",02:18:03,F40-44

6740,09-23,MarathonOasisdeMontreal,MARATHON,03:53:24,M30-34
6740,06-17,TourduLacBrome,20KMROUTE,01:53:08,M30-39
6740,05-27,OttawaRaceWeekend,HALFMARATHON,01:56:18,M30-34

6741,10-07,OttawaFallColoursMarathonEvents,MARATHON,03:18:48,M35-39
6741,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:42:44,M30-39

6744,09-23,Marathon Oasis de Montreal,Marathon,04:11:03,M30-34

6747,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:16:32,F45-49

6752,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:08:08,M55-59

6753,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:53:15,M30-39

6762,09-23,MarathonOasisdeMontreal,MARATHON,03:10:25,M40-44
6762,08-15,Le5kmEndurance,5KM,00:18:47,M40-49
6762,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:28:13,M40-49
6762,07-14,Demi-MarathonMarcelJobin,21KM,01:32:23,M40-49
6762,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:27:35,M40-49
6762,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:41:15,M40-49

6765,09-22,DefiVeloMag,105KM,03:14:30,M40-49

6767,10-14,ClassiqueDuParcLaFontaine,5KM,00:26:23,M30-39
6767,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:59:17,M35-39
6767,05-26,OttawaRaceWeekend,10KM,01:03:26,M35-39

6768,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:55:39,M30-34
6768,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:41,M30-34
6768,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:01:46,M30-39
6768,06-23,TorontoPearsonRunwayRun,5K,-1,M30-39
6768,06-03,BreadandHoneyRaces,15KM,01:19:33,M30-34
6768,05-26,OttawaRaceWeekend,10KM,00:58:57,M30-34
6768,05-05,MississaugaMarathonRaces,10KM,00:50:41,M30-39
6768,04-22,TorontoYongeStreet10K,10KM,00:56:17,M30-34

6770,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:51:25,M50-59

6773,09-23,Marathon Oasis de Montreal,Marathon,04:21:16,F35-39

6774,05-27,OttawaRaceWeekend,HALFMARATHON,01:55:02,M45-49

6776,09-23,MarathonOasisdeMontreal,MARATHON,03:02:39,F30-34
6776,06-03,DefidesEscaliers,GRIMPEURS,00:02:42,F30-39
6776,06-03,DefidesEscaliers,19KM,-1,F30-39
6776,06-03,DefidesEscaliers,SPRINTEURS,00:16:39,F30-39
6776,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:27:17,F30-39

6782,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:48:34,M30-34
6782,04-29,BanqueScotia21kmet5km,"21,1KM",02:08:16,M30-34

6783,09-09,Demi-MarathonGranby,10KMCOURSE,00:39:34,M30-39
6783,06-23,LeDefiBeauceron,10KM,00:42:11,M30-39
6783,06-17,TourduLacBrome,10KMROUTE,00:44:05,M30-39
6783,05-26,OttawaRaceWeekend,10KM,00:43:03,M30-34

6789,09-23,MarathonOasisdeMontreal,MARATHON,03:58:04,M30-34

6791,09-23,MarathonOasisdeMontreal,MARATHON,04:52:35,M18-24
6791,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",01:53:32,M20-29

6794,11-04,OkaRoadRace,DEMI-MARATHON,01:31:25,M30-39
6794,09-23,MarathonOasisdeMontreal,MARATHON,03:16:20,M35-39
6794,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:34:35,M30-39
6794,05-27,OttawaRaceWeekend,MARATHON,03:27:43,M35-39

6797,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:45:15,M40-44
6797,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:52:07,M40-49
6797,05-13,DefiGerardCotedeSt-Hyacinthe,15KM,01:08:18,M40-49

6800,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:20,M35-39

6802,05-27,OttawaRaceWeekend,HALFMARATHON,01:44:23,M40-44

6804,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:58:50,M35-39

6809,09-23,Marathon Oasis de Montreal,Marathon,04:05:43,F40-44

6811,09-23,Marathon Oasis de Montreal,Marathon,03:44:17,M50-54

6813,09-23,Marathon Oasis de Montreal,Marathon,03:47:28,M35-39

6814,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:44:51,F45-49
6814,07-08,CoupeDix302012,10KM,00:49:04,F50-59
6814,04-29,BanqueScotia21kmet5km,"21,1KM",01:47:24,F45-49

6816,09-23,MarathonOasisdeMontreal,MARATHON,04:24:41,M30-34
6816,07-14,Demi-MarathonMarcelJobin,21KM,01:56:34,M30-39

6819,09-23,Marathon Oasis de Montreal,Marathon,03:13:17,M40-44

6821,09-30,MarathondeRimouski,"21,1KM",01:44:34,M40-49

6823,09-23,Marathon Oasis de Montreal,Marathon,03:54:41,F35-39

6827,09-23,MarathonOasisdeMontreal,MARATHON,04:23:49,M40-44
6827,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:55:19,M40-49

6828,09-23,MarathonOasisdeMontreal,MARATHON,03:30:42,M35-39
6828,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:21:18,M30-39

6829,09-23,Marathon Oasis de Montreal,Marathon,03:37:27,M50-54

6830,09-23,MarathonOasisdeMontreal,MARATHON,04:23:42,M30-34

6831,09-23,MarathonOasisdeMontreal,MARATHON,03:39:25,M35-39
6831,06-17,TourduLacBrome,20KMROUTE,01:36:55,M30-39

6843,09-23,MarathonOasisdeMontreal,MARATHON,03:29:27,M18-24

6845,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:32,F30-34
6845,05-27,OttawaRaceWeekend,HALFMARATHON,02:09:26,F30-34

6846,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:59:05,M18-24
6846,08-19,CoupeDix302012,10KM,00:46:35,M20-29

6848,09-23,MarathonOasisdeMontreal,MARATHON,03:54:17,M18-24

6850,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:53:09,M45-49

6853,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:39:08,M35-39
6853,05-27,DefiBarefootMerrell,10KM,00:45:43,M30-39

6855,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:08:12,F30-34
6855,04-29,BanqueScotia21kmet5km,"21,1KM",02:06:40,F30-34

6861,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:26:28,M30-34

6863,09-23,MarathonOasisdeMontreal,MARATHON,04:19:04,M30-34

6868,09-23,Marathon Oasis de Montreal,Marathon,03:45:18,M25-29

6871,10-14,ClassiqueDuParcLaFontaine,10KM,00:47:25,M50-59
6871,04-29,BanqueScotia21kmet5km,"21,1KM",01:48:20,M55-59
6871,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:46:42,M50-59

6875,09-23,Marathon Oasis de Montreal,Marathon,04:21:46,M40-44

6877,11-04,OkaRoadRace,DEMI-MARATHON,01:37:11,F40-49
6877,10-14,ClassiqueDuParcLaFontaine,5KM,00:21:12,F40-49
6877,09-23,MarathonOasisdeMontreal,MARATHON,03:40:50,F45-49
6877,08-15,Le5kmEndurance,5KM,00:22:34,F40-49
6877,05-27,OttawaRaceWeekend,HALFMARATHON,01:53:51,F45-49
6877,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:51:09,F40-49

6880,10-07,OttawaFallColoursMarathonEvents,5KM,00:21:33,F20-24
6880,09-23,ArmyRun/CoursedelArmee,5K,00:23:21,F20-29
6880,09-08,KemptvilleRaceDay,10KMRUN,00:47:18,F20-24
6880,09-01,CanadianIron226TriathlonDuathlonandRelays,THECANADIANSPRINTTRIATHLON,01:52:44,F20-24
6880,08-19,IronmanMont-Tremblant,OVERALL,13:52:58,F18-24
6880,07-28,MultiSportCanadaTriathlonSeriesCobourg,OLYMPICDISTANCETRIATHLON,02:57:33,F20-24
6880,07-14,BushtukahBringontheBay3KOpenWaterSwimforEasterSeals,3KM,01:06:27,F20-29NoWet
6880,07-01,Bushtukah-CanadaDayRoadRaces,5KM,00:21:28,F20-29
6880,06-24,SmithsFallsClassicTriathlon/Duathlon&Relay,SPRINTTRIATHLON,01:26:47,F20-24
6880,05-27,OttawaRaceWeekend,MARATHON,03:56:19,F20-24
6880,03-25,AroundtheBayRoadRaces,30KM,02:31:50,F20-24

6881,09-23,MarathonOasisdeMontreal,MARATHON,04:53:02,M55-59
6881,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:15:49,M50-59

6885,09-23,MarathonOasisdeMontreal,MARATHON,04:32:31,M50-54
6885,04-29,BanqueScotia21kmet5km,5KM,00:31:47,M50-54

6888,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:58:20,M25-29

6889,09-23,Marathon Oasis de Montreal,Marathon,02:58:31,M55-59

6890,09-23,Marathon Oasis de Montreal,Marathon,03:44:03,F35-39

6894,09-23,Marathon Oasis de Montreal,Marathon,03:09:21,M30-34

6897,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:05:34,F35-39
6897,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,02:01:12,F30-39

6898,09-23,Marathon Oasis de Montreal,Marathon,04:12:05,F45-49

6906,11-04,OkaRoadRace,10KCOURSE,00:43:06,M20-29
6906,09-23,MarathonOasisdeMontreal,10KM,00:42:24,M18-24

6907,05-27,OttawaRaceWeekend,MARATHON,03:53:31,M45-49

6910,09-23,MarathonOasisdeMontreal,MARATHON,03:43:20,M35-39
6910,04-29,BanqueScotia21kmet5km,"21,1KM",01:40:55,M35-39

6917,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,03:53:39,F40-44
6917,05-27,OttawaRaceWeekend,MARATHON,03:53:12,F40-44
6917,03-25,AroundtheBayRoadRaces,30KM,02:47:48,F40-44

6919,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,03:51:57,M40-44
6919,09-23,MarathonOasisdeMontreal,MARATHON,03:44:56,M40-44
6919,05-13,SportingLife10K,10KM,01:01:46,M40-44
6919,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,03:36:56,M40-44

6921,09-23,MarathonOasisdeMontreal,MARATHON,03:55:25,M35-39

6922,09-23,MarathonOasisdeMontreal,MARATHON,04:27:18,F45-49
6922,08-18,AMidSummerNightsRun,30KMRACE,02:59:11,F40-49
6922,07-19,DowntownDash,10KM,00:52:31,F45-49
6922,06-23,MultiSportCanadaTriathlonSeriesWellandTri/Du&Give-It-A-Tri,GIVE-IT-A-TRI,00:53:04,F50-59
6922,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,01:59:46,F45-49
6922,03-25,AroundtheBayRoadRaces,30KM,02:59:12,F45-49

6924,10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:29:10,F30-39
6924,09-23,MarathonOasisdeMontreal,MARATHON,03:08:04,F35-39
6924,07-14,Demi-MarathonMarcelJobin,21KM,01:30:27,F30-39
6924,05-13,DefiGerardCotedeSt-Hyacinthe,15KM,01:03:09,F30-39
6924,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:28:03,F30-39
6924,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:33:16,F30-39

6925,11-04,OkaRoadRace,DEMI-MARATHON,01:53:39,M30-39
6925,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:56:57,M35-39

6926,09-23,MarathonOasisdeMontreal,MARATHON,03:02:27,M25-29
6926,08-15,Le5kmEndurance,5KM,00:19:32,M20-29
6926,05-27,OttawaRaceWeekend,HALFMARATHON,01:29:26,M25-29

6927,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:35:08,M25-29
6927,04-29,BanqueScotia21kmet5km,"21,1KM",01:37:08,M25-29

6929,11-03,HeatherSaaltinkMemorialRun,5KMRUN,00:21:27,M50-59
6929,08-15,Le5kmEndurance,5KM,00:21:10,M50-59

6932,05-20,DuathlonSorel-Tracy,DUATHLONCOMPETITION,01:51:55,M20-29

6933,09-23,Marathon Oasis de Montreal,Marathon,03:59:44,M40-44

6936,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:47:11,M35-39
6936,09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,03:07:50,M40-44
6936,06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,03:17:39,M40-44
6936,04-29,BanqueScotia21kmet5km,"21,1KM",01:46:54,M35-39

6939,05-27,OttawaRaceWeekend,MARATHON,04:14:40,M55-59
6939,04-29,BanqueScotia21kmet5km,"21,1KM",01:56:27,M55-59

6940,09-23,MarathonOasisdeMontreal,MARATHON,04:23:36,M35-39

6942,09-23,MarathonOasisdeMontreal,MARATHON,04:06:22,M55-59

6943,09-23,Marathon Oasis de Montreal,Marathon,04:29:26,M50-54

6946,09-23,MarathonOasisdeMontreal,MARATHON,03:55:37,M55-59

6948,09-23,MarathonOasisdeMontreal,MARATHON,03:56:40,M45-49

6950,09-23,MarathonOasisdeMontreal,MARATHON,03:07:07,M30-34

6951,09-23,MarathonOasisdeMontreal,MARATHON,03:44:04,M30-34
6951,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:50:17,M30-39

6954,05-27,OttawaRaceWeekend,MARATHON,04:26:45,F40-44

6959,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,05:02:02,M50-54
6959,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:09:56,M40-49

6962,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:31:06,M55-59

6963,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:21,M35-39

6970,09-23,Marathon Oasis de Montreal,Marathon,03:49:40,M35-39

6973,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,01:32:01,M40-49
6973,06-09,BarrhavenRunforRoger'sHouse,10K,00:43:19,M40-49
6973,05-27,OttawaRaceWeekend,MARATHON,03:38:27,M40-44

6974,10-07,LeCrossDesCouleurs,11KM,00:50:42,M16-17
6974,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:45:08,M16-19

6975,04-29,BanqueScotia21kmet5km,"21,1KM",02:14:15,M40-44

6978,09-23,MarathonOasisdeMontreal,MARATHON,04:16:06,F35-39

6986,05-06,CourseduFortdeChambly,5KM,00:20:29,M30-39

6987,09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,05:40:06,M30-34

6988,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:06:36,M55-59
6988,09-22,OasisZooRun10kRun5kRun,10KM,00:50:47,M55-59
6988,08-18,AMidSummerNightsRun,15KMRUN,01:17:29,M50-59
6988,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,01:54:53,M55-59
6988,03-04,ChillyHalfMarathon&Frosty5km,HALFMARATHON,01:55:32,M55-59

6998,09-23,MarathonOasisdeMontreal,MARATHON,03:30:49,M45-49
6998,04-29,BanqueScotia21kmet5km,"21,1KM",01:31:52,M45-49

7003,09-23,Marathon Oasis de Montreal,Marathon,03:55:00,M35-39

7005,09-23,Marathon Oasis de Montreal,Marathon,03:54:23,M45-49

7006,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:10:19,F40-44

7007,09-23,Marathon Oasis de Montreal,Marathon,04:12:02,M25-29

7010,09-23,MarathonOasisdeMontreal,MARATHON,04:41:38,F50-54
7010,06-17,ManitobaMarathon,MARATHON,-1,F50-54

7012,09-23,MarathonOasisdeMontreal,MARATHON,04:34:59,F30-34
7012,04-29,BanqueScotia21kmet5km,"21,1KM",02:03:11,F30-34

7013,09-23,MarathonOasisdeMontreal,MARATHON,04:31:24,F40-44

7014,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:43:56,M35-39

7017,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:00:44,F40-44

7023,06-02,Coursedesiles,10KM,00:58:07,F50-59

7024,09-23,MarathonOasisdeMontreal,MARATHON,04:45:14,M50-54
7024,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:49:03,M50-59

7028,10-14,ClassiqueDuParcLaFontaine,10KM,00:41:26,M30-39
7028,09-09,Demi-MarathonGranby,DEMIMARATHON,01:34:49,M30-39
7028,07-22,CoupeDix302012,10KM,00:43:00,M30-39
7028,06-17,TourduLacBrome,20KMROUTE,01:30:42,M30-39
7028,04-29,BanqueScotia21kmet5km,"21,1KM",01:37:19,M30-34
7028,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:20:40,M30-39

7031,09-23,MarathonOasisdeMontreal,MARATHON,04:38:55,M60-64
7031,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:50:34,M60-69

7033,09-23,Marathon Oasis de Montreal,Marathon,02:18:51,M30-34

7035,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:17:12,M45-49
7035,09-23,MarathonOasisdeMontreal,MARATHON,04:11:34,M45-49
7035,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,01:57:09,M45-49

7040,09-23,MarathonOasisdeMontreal,MARATHON,04:05:30,F40-44

7042,09-23,MarathonOasisdeMontreal,MARATHON,02:50:47,M40-44
7042,07-08,CoupeDix302012,10KM,00:33:52,M40-49

7049,09-23,Marathon Oasis de Montreal,Marathon,04:27:14,M60-64

7053,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,01:55:41,M50-59

7060,09-23,Marathon Oasis de Montreal,Marathon,03:58:36,F30-34

7061,09-23,MarathonOasisdeMontreal,MARATHON,04:41:13,F30-34

7069,09-23,MarathonOasisdeMontreal,MARATHON,03:50:26,M50-54
7069,03-25,AroundtheBayRoadRaces,30KM,02:31:11,M50-54

7072,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:52:39,M18-24

7073,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:39:34,M35-39

7079,06-02,WellingtonWomen'sHalfMarathonandHalfaHalf,HALFMARATHON,02:12:49,

7083,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:52,M25-29

7084,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:35,M40-44
7084,06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:46:02,M40-49
7084,04-29,CoursePrintaniereOka,10KM,00:49:48,M40-49

7086,09-23,Marathon Oasis de Montreal,Marathon,03:41:55,M50-54

7087,09-23,MarathonOasisdeMontreal,MARATHON,04:25:06,M55-59

7089,09-30,MarathondeRimouski,"21,1KM",01:58:03,F30-39
7089,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:04:24,F30-39

7093,09-23,IslandGirlHalfMarathon,HALFMARATHON,01:57:10,F50-59
7093,09-22,OasisZooRun10kRun5kRun,10KM,01:17:13,F50-54
7093,09-01,SubaruGuelphLakeIITriathlonandDuathlon,TRYATRI,00:57:42,F50-59
7093,06-16,SubaruGuelphLakeISprintTriathlon&Duathlon,TRYATRI,00:58:55,F50-59
7093,05-27,TorontoWomen'sHalfMarathon&5K,HALFMARATHON,02:11:56,F50-54
7093,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,04:29:06,F50-54
7093,03-25,AroundtheBayRoadRaces,30KM,03:06:15,F50-54

7099,02-19,WintermanMarathonandMarathonRelays,HALFMARATHON,01:48:40,F25-29

7101,11-04,OkaRoadRace,DEMI-MARATHON,02:24:14,M50-59
7101,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:41:58,M50-59

7102,09-23,MarathonOasisdeMontreal,MARATHON,04:01:59,M55-59

7104,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:15,M30-34

7105,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:49:18,M20-29

7117,04-22,TorontoYongeStreet10K,10KM,00:56:58,M50-54

7118,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:14:59,F40-49

7120,09-23,Marathon Oasis de Montreal,Marathon,04:38:32,M25-29

7122,05-27,OttawaRaceWeekend,MARATHON,04:12:23,M50-54
7122,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:48:13,M50-59

7123,09-23,MarathonOasisdeMontreal,MARATHON,03:26:13,M40-44
7123,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:39:24,M40-49
7123,05-27,OttawaRaceWeekend,MARATHON,03:21:39,M40-44
7123,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:36:34,M40-49

7127,09-23,MarathonOasisdeMontreal,MARATHON,03:24:14,M50-54
7127,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:43:28,M50-59

7129,09-09,Demi-MarathonGranby,DEMIMARATHON,02:05:35,M30-39
7129,08-19,CoupeDix302012,10KM,00:53:39,M30-39
7129,07-22,CoupeDix302012,10KM,00:57:22,M30-39
7129,06-17,TourduLacBrome,20KMROUTE,01:58:37,M30-39
7129,04-29,BanqueScotia21kmet5km,"21,1KM",02:25:23,M35-39

7136,08-26,MarathondesDeuxRivesLévis-Québec,10KM,01:08:40,F20-29

7142,09-23,Marathon Oasis de Montreal,Marathon,04:09:47,M35-39

7148,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:23:49,F30-34

7150,09-23,MarathonOasisdeMontreal,MARATHON,03:31:07,M40-44
7150,05-27,OttawaRaceWeekend,MARATHON,03:19:19,M40-44

7151,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:22:40,F40-49

7153,09-23,Marathon Oasis de Montreal,Marathon,04:10:06,M25-29

7156,09-23,MarathonOasisdeMontreal,MARATHON,04:41:36,M18-24

7159,06-02,Coursedesiles,10KM,00:44:55,M30-39

7163,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:10,F45-49
7163,04-29,CoursePrintaniereOka,"21,1KM",02:03:56,F40-49
7163,02-19,DéfiHivernalIleBizard,10KM,00:59:52,F40-49

7169,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:27,M30-34
7169,04-29,BanqueScotia21kmet5km,"21,1KM",01:38:43,M30-34
7169,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:47:27,M30-39

7174,09-23,Marathon Oasis de Montreal,Marathon,04:19:51,M30-34

7180,05-27,OttawaRaceWeekend,HALFMARATHON,02:00:54,F20-24

7181,09-23,MarathonOasisdeMontreal,MARATHON,04:43:12,F40-44

7183,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:53:25,M50-54
7183,09-09,Demi-MarathonGranby,DEMIMARATHON,01:55:09,M50-59
7183,05-27,OttawaRaceWeekend,MARATHON,04:43:10,M50-54
7183,04-29,BanqueScotia21kmet5km,"21,1KM",01:58:16,M50-54

7184,09-23,MarathonOasisdeMontreal,MARATHON,04:19:43,M30-34
7184,04-29,BanqueScotia21kmet5km,"21,1KM",01:49:06,M30-34

7187,09-30,MarathondeRimouski,"21,1KM",01:52:00,M30-39
7187,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:12:00,M30-39

7189,04-29,BanqueScotia21kmet5km,"21,1KM",01:52:13,F35-39
7189,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:58:01,F30-39

7190,09-23,MarathonOasisdeMontreal,MARATHON,03:11:31,M30-34

7192,09-23,MarathonOasisdeMontreal,MARATHON,03:15:09,M35-39
7192,08-19,CoupeDix302012,10KM,00:39:10,M30-39
7192,04-29,BanqueScotia21kmet5km,"21,1KM",01:28:17,M35-39
7192,03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:19:09,M30-39
7192,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:32:56,M30-39

7195,09-23,Marathon Oasis de Montreal,Marathon,03:38:53,M35-39

7197,09-23,MarathonOasisdeMontreal,MARATHON,04:29:11,M40-44

7200,09-23,MarathonOasisdeMontreal,MARATHON,04:36:52,M50-54
7200,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:57:55,F50-59

7201,09-23,MarathonOasisdeMontreal,MARATHON,03:26:42,M50-54

7203,09-23,Marathon Oasis de Montreal,Marathon,04:05:49,F30-34

7206,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:22:46,F25-29

